log,cleaned_log,label,stage,severity,root_cause,log_length
"2026-04-01T20:02:03.000Z ##[group]Run CI for apache/spark
2026-04-01T20:02:03.000Z Runner image: windows-latest
2026-04-01T20:02:03.000Z Language: python
2026-04-01T20:02:03.000Z Starting module router
2026-04-01T20:02:03.000Z Traceback (most recent call last): ValueError: invalid state transition in router
2026-04-01T20:02:03.000Z ##[error]Runtime exception in test process",2026-04-01t20:02:03.000z group run ci for apache/spark 2026-04-01t20:02:03.000z runner image: windows-latest 2026-04-01t20:02:03.000z language: python 2026-04-01t20:02:03.000z starting module router 2026-04-01t20:02:03.000z traceback most,Runtime Error,test,medium,Unhandled exception during job execution,238.0
"2026-04-01T23:00:05.000Z ##[group]Run CI for django/django
2026-04-01T23:00:05.000Z Runner image: macos-latest
2026-04-01T23:00:05.000Z Language: java
2026-04-01T23:00:05.000Z pytest -m integration --maxfail=1
2026-04-01T23:00:05.000Z Error: Process timed out after 20 minutes
2026-04-01T23:00:05.000Z ##[error]The operation was canceled",2026-04-01t23:00:05.000z group run ci for django/django 2026-04-01t23:00:05.000z runner image: macos-latest 2026-04-01t23:00:05.000z language: java 2026-04-01t23:00:05.000z pytest -m integration --maxfail 1 2026-04-01t23:00:05.000z,Timeout Error,test,medium,Long-running step exceeded CI timeout threshold,231.0
"2026-04-12T04:48:05.000Z ##[group]Run CI for nodejs/node
2026-04-12T04:48:05.000Z Runner image: macos-latest
2026-04-12T04:48:05.000Z Language: go
2026-04-12T04:48:05.000Z helm upgrade --install api ./charts/api
2026-04-12T04:48:05.000Z Error: UPGRADE FAILED: timed out waiting for the condition
2026-04-12T04:48:05.000Z ##[error]Deployment failed in production stage",2026-04-12t04:48:05.000z group run ci for nodejs/node 2026-04-12t04:48:05.000z runner image: macos-latest 2026-04-12t04:48:05.000z language: go 2026-04-12t04:48:05.000z helm upgrade --install api ./charts/api 2026-04-12t04:48:05.000z,Deployment Error,deploy,high,Release or deployment command failed,
"2026-04-01T13:18:35.000Z ##[group]Run CI for tensorflow/tensorflow
2026-04-01T13:18:35.000Z Runner image: macos-latest
2026-04-01T13:18:35.000Z Language: java
2026-04-01T13:18:35.000Z pytest -m integration --maxfail=1
2026-04-01T13:18:35.000Z Error: Process timed out after 10 minutes
2026-04-01T13:18:35.000Z ##[error]The operation was canceled",2026-04-01t13:18:35.000z group run ci for tensorflow/tensorflow 2026-04-01t13:18:35.000z runner image: macos-latest 2026-04-01t13:18:35.000z language: java 2026-04-01t13:18:35.000z pytest -m integration --maxfail 1 2026-04-01t13:18:35.000z,Timeout Error,test,medium,Long-running step exceeded CI timeout threshold,239.0
"2026-04-01T19:08:04.000Z ##[group]Run CI for django/django
2026-04-01T19:08:04.000Z Runner image: windows-latest
2026-04-01T19:08:04.000Z Language: python
2026-04-01T19:08:04.000Z pytest -m integration --maxfail=1
2026-04-01T19:08:04.000Z Error: Process timed out after 10 minutes
2026-04-01T19:08:04.000Z ##[error]The operation was canceled",2026-04-01t19:08:04.000z group run ci for django/django 2026-04-01t19:08:04.000z runner image: windows-latest 2026-04-01t19:08:04.000z language: python 2026-04-01t19:08:04.000z pytest -m integration --maxfail 1 2026-04-01t19:08:04.000z,Timeout Error,test,medium,Long-running step exceeded CI timeout threshold,235.0
"2026-04-08T16:32:37.000Z ##[group]Run CI for spring-projects/spring-boot
2026-04-08T16:32:37.000Z Runner image: ubuntu-latest
2026-04-08T16:32:37.000Z Language: rust
2026-04-08T16:32:37.000Z validating .github/workflows/ci.yml
2026-04-08T16:32:37.000Z workflow syntax error: Unexpected value 'stepz'
2026-04-08T16:32:37.000Z ##[error]Invalid workflow configuration",2026-04-08t16:32:37.000z group run ci for spring-projects/spring-boot 2026-04-08t16:32:37.000z runner image: ubuntu-latest 2026-04-08t16:32:37.000z language: rust 2026-04-08t16:32:37.000z validating .github/workflows/ci.yml 2026-04-08t16:32:37.000z workflow syntax error:,Configuration Error,build,high,Invalid workflow configuration or environment variable,
"2026-04-01T12:00:30.000Z ##[group]Run CI for django/django
2026-04-01T12:00:30.000Z Runner image: macos-latest
2026-04-01T12:00:30.000Z Language: python
2026-04-01T12:00:30.000Z ERROR: Module not found: Cannot resolve 'react-dom'
2026-04-01T12:00:30.000Z npm ERR! code E404
2026-04-01T12:00:30.000Z ##[error]Dependency installation failed",2026-04-01t12:00:30.000z group run ci for django/django 2026-04-01t12:00:30.000z runner image: macos-latest 2026-04-01t12:00:30.000z language: python 2026-04-01t12:00:30.000z error: module not found: cannot resolve,Dependency Error,build,high,Missing package or unresolved module dependency,214.0
"2026-04-02T11:20:48.000Z ##[group]Run CI for django/django
2026-04-02T11:20:48.000Z Runner image: macos-latest
2026-04-02T11:20:48.000Z Language: rust
2026-04-02T11:20:48.000Z helm upgrade --install api ./charts/api
2026-04-02T11:20:48.000Z Error: UPGRADE FAILED: timed out waiting for the condition
2026-04-02T11:20:48.000Z ##[error]Deployment failed in production stage",2026-04-02t11:20:48.000z group run ci for django/django 2026-04-02t11:20:48.000z runner image: macos-latest 2026-04-02t11:20:48.000z language: rust 2026-04-02t11:20:48.000z helm upgrade --install api ./charts/api 2026-04-02t11:20:48.000z,Deployment Error,deploy,high,Release or deployment command failed,237.0
"2026-04-01T13:17:15.000Z ##[group]Run CI for tensorflow/tensorflow
2026-04-01T13:17:15.000Z Runner image: ubuntu-latest
2026-04-01T13:17:15.000Z Language: go
2026-04-01T13:17:15.000Z Starting module router
2026-04-01T13:17:15.000Z Traceback (most recent call last): ValueError: invalid state transition in router
2026-04-01T13:17:15.000Z ##[error]Runtime exception in test process",2026-04-01t13:17:15.000z group run ci for tensorflow/tensorflow 2026-04-01t13:17:15.000z runner image: ubuntu-latest 2026-04-01t13:17:15.000z language: go 2026-04-01t13:17:15.000z starting module router 2026-04-01t13:17:15.000z traceback most,Runtime Error,test,medium,Unhandled exception during job execution,242.0
"2026-04-10T07:01:54.4942144Z ##[group]Run make -C node build-ci -j4 V=1 CONFIG_FLAGS=""--error-on-warn --v8-enable-temporal-support"" 2026-04-10T07:01:54.4942853Z [36;1mmake -C node build-ci -j4 V=1 CONFIG_FLAGS=""--error-on-warn --v8-enable-temporal-support""[0m 2026-04-10T07:01:54.7047123Z python3 ./configure --verbose --error-on-warn --v8-enable-temporal-support 2026-04-10T07:01:58.9871189Z                  'error_on_warn': 'true', 2026-04-10T07:01:58.9893030Z                                           'test/cctest/test_quic_error.cc',",tz grouprun make c node,Test Failure,test,medium,Assertion or test case failure,23.0
"2026-04-02T06:06:21.000Z ##[group]Run CI for tensorflow/tensorflow
2026-04-02T06:06:21.000Z Runner image: ubuntu-latest
2026-04-02T06:06:21.000Z Language: node
2026-04-02T06:06:21.000Z helm upgrade --install api ./charts/api
2026-04-02T06:06:21.000Z Error: UPGRADE FAILED: timed out waiting for the condition
2026-04-02T06:06:21.000Z ##[error]Deployment failed in production stage",2026-04-02t06:06:21.000z group run ci for tensorflow/tensorflow 2026-04-02t06:06:21.000z runner image: ubuntu-latest 2026-04-02t06:06:21.000z language: node 2026-04-02t06:06:21.000z helm upgrade --install api ./charts/api 2026-04-02t06:06:21.000z,Deployment Error,deploy,high,Release or deployment command failed,246.0
"2026-04-16T00:00:57.000Z ##[group]Run CI for pytorch/pytorch
2026-04-16T00:00:57.000Z Runner image: windows-latest
2026-04-16T00:00:57.000Z Language: go
2026-04-16T00:00:57.000Z Pulling cache layer from registry
2026-04-16T00:00:57.000Z error: failed to solve: no space left on device
2026-04-16T00:00:57.000Z ##[error]Runner disk pressure caused job failure",2026-04-16t00:00:57.000z group run ci for pytorch/pytorch 2026-04-16t00:00:57.000z runner image: windows-latest 2026-04-16t00:00:57.000z language: go 2026-04-16t00:00:57.000z pulling cache layer from registry 2026-04-16t00:00:57.000z,Infrastructure Error,build,high,Runner or external service instability,
"2026-04-02T02:44:36.000Z ##[group]Run CI for angular/angular
2026-04-02T02:44:36.000Z Runner image: ubuntu-latest
2026-04-02T02:44:36.000Z Language: java
2026-04-02T02:44:36.000Z validating .github/workflows/ci.yml
2026-04-02T02:44:36.000Z workflow syntax error: Unexpected value 'stepz'
2026-04-02T02:44:36.000Z ##[error]Invalid workflow configuration",2026-04-02t02:44:36.000z group run ci for angular/angular 2026-04-02t02:44:36.000z runner image: ubuntu-latest 2026-04-02t02:44:36.000z language: java 2026-04-02t02:44:36.000z validating .github/workflows/ci.yml 2026-04-02t02:44:36.000z workflow syntax error:,Configuration Error,build,high,Invalid workflow configuration or environment variable,259.0
"2026-04-09T23:33:13.2507695Z Complete job name: Run / Build modules: pyspark-core, pyspark-errors, pyspark-streaming, pyspark-logger 2026-04-09T23:33:55.3792781Z   MODULES_TO_TEST: pyspark-core, pyspark-errors, pyspark-streaming, pyspark-logger 2026-04-09T23:34:31.8691864Z   MODULES_TO_TEST: pyspark-core, pyspark-errors, pyspark-streaming, pyspark-logger 2026-04-09T23:34:33.9009156Z   MODULES_TO_TEST: pyspark-core, pyspark-errors, pyspark-streaming, pyspark-logger 2026-04-09T23:34:36.1010163Z   MODULES_TO_TEST: pyspark-core, pyspark-errors, pyspark-streaming, pyspark-logger",tz complete job name run,Test Failure,test,medium,Assertion or test case failure,24.0
"2026-04-01T12:21:06.000Z ##[group]Run CI for apache/spark
2026-04-01T12:21:06.000Z Runner image: windows-latest
2026-04-01T12:21:06.000Z Language: rust
2026-04-01T12:21:06.000Z ERROR: Module not found: Cannot resolve 'pytest'
2026-04-01T12:21:06.000Z npm ERR! code E404
2026-04-01T12:21:06.000Z ##[error]Dependency installation failed",2026-04-01t12:21:06.000z group run ci for apache/spark 2026-04-01t12:21:06.000z runner image: windows-latest 2026-04-01t12:21:06.000z language: rust 2026-04-01t12:21:06.000z error: module not found: cannot resolve,Dependency Error,build,high,Missing package or unresolved module dependency,213.0
"2026-04-01T12:26:55.000Z ##[group]Run CI for apache/spark
2026-04-01T12:26:55.000Z Runner image: ubuntu-latest
2026-04-01T12:26:55.000Z Language: node
2026-04-01T12:26:55.000Z src/worker/handler.py:380: SyntaxError: unexpected token '='
2026-04-01T12:26:55.000Z pylint: E0001 syntax-error
2026-04-01T12:26:55.000Z ##[error]Build stopped due to syntax error",2026-04-01t12:26:55.000z group run ci for apache/spark 2026-04-01t12:26:55.000z runner image: ubuntu-latest 2026-04-01t12:26:55.000z language: node 2026-04-01t12:26:55.000z src/worker/handler.py:380: syntaxerror: unexpected token 2026-04-01t12:26:55.000z pylint:,Syntax Error,build,high,Invalid code syntax detected by compiler or linter,262.0
"2026-04-01T12:20:23.000Z ##[group]Run CI for angular/angular
2026-04-01T12:20:23.000Z Runner image: windows-latest
2026-04-01T12:20:23.000Z Language: go
2026-04-01T12:20:23.000Z make build-ci -j4
2026-04-01T12:20:23.000Z gcc: fatal error: cannot execute 'cc1plus': No such file or directory
2026-04-01T12:20:23.000Z ##[error]Build failed with exit code 2",2026-04-01t12:20:23.000z group run ci for angular/angular 2026-04-01t12:20:23.000z runner image: windows-latest 2026-04-01t12:20:23.000z language: go 2026-04-01t12:20:23.000z make build-ci -j4 2026-04-01t12:20:23.000z gcc: fatal,Build Failure,build,high,Compilation or packaging process failed,228.0
"2026-04-15T13:04:52.000Z ##[group]Run CI for pytorch/pytorch
2026-04-15T13:04:52.000Z Runner image: windows-latest
2026-04-15T13:04:52.000Z Language: go
2026-04-15T13:04:52.000Z pytest -m integration --maxfail=1
2026-04-15T13:04:52.000Z Error: Process timed out after 10 minutes
2026-04-15T13:04:52.000Z ##[error]The operation was canceled",2026-04-15t13:04:52.000z group run ci for pytorch/pytorch 2026-04-15t13:04:52.000z runner image: windows-latest 2026-04-15t13:04:52.000z language: go 2026-04-15t13:04:52.000z pytest -m integration --maxfail 1 2026-04-15t13:04:52.000z,Timeout Error,test,medium,Long-running step exceeded CI timeout threshold,
"2026-04-01T20:45:45.000Z ##[group]Run CI for spring-projects/spring-boot
2026-04-01T20:45:45.000Z Runner image: ubuntu-latest
2026-04-01T20:45:45.000Z Language: java
2026-04-01T20:45:45.000Z aws secretsmanager get-secret-value --secret-id docker-token
2026-04-01T20:45:45.000Z AccessDeniedException: User is not authorized to perform secretsmanager:GetSecretValue
2026-04-01T20:45:45.000Z ##[error]permission denied while accessing deployment secret",2026-04-01t20:45:45.000z group run ci for spring-projects/spring-boot 2026-04-01t20:45:45.000z runner image: ubuntu-latest 2026-04-01t20:45:45.000z language: java 2026-04-01t20:45:45.000z aws secretsmanager get-secret-value --secret-id docker-token 2026-04-01t20:45:45.000z,Permission Error,deploy,high,"Token, role, or filesystem permission denied",273.0
"2026-04-01T07:23:21.000Z ##[group]Run CI for apache/spark
2026-04-01T07:23:21.000Z Runner image: ubuntu-latest
2026-04-01T07:23:21.000Z Language: node
2026-04-01T07:23:21.000Z FAIL tests/integration/test_auth_flow.py
2026-04-01T07:23:21.000Z AssertionError: expected 10 but received 19
2026-04-01T07:23:21.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:23:21.000z group run ci for apache/spark 2026-04-01t07:23:21.000z runner image: ubuntu-latest 2026-04-01t07:23:21.000z language: node 2026-04-01t07:23:21.000z fail tests/integration/test_auth_flow.py 2026-04-01t07:23:21.000z assertionerror: expected 10,Test Failure,test,medium,Assertion mismatch in CI test suite,266.0
Build failed: syntax error near unexpected token,syntax error build,Syntax Error,build,high,Invalid syntax in code,18.0
"2026-04-01T13:00:33.000Z ##[group]Run CI for vercel/next.js
2026-04-01T13:00:33.000Z Runner image: macos-latest
2026-04-01T13:00:33.000Z Language: rust
2026-04-01T13:00:33.000Z make build-ci -j4
2026-04-01T13:00:33.000Z gcc: fatal error: cannot execute 'cc1plus': No such file or directory
2026-04-01T13:00:33.000Z ##[error]Build failed with exit code 2",2026-04-01t13:00:33.000z group run ci for vercel/next.js 2026-04-01t13:00:33.000z runner image: macos-latest 2026-04-01t13:00:33.000z language: rust 2026-04-01t13:00:33.000z make build-ci -j4 2026-04-01t13:00:33.000z gcc: fatal,Build Failure,build,high,Compilation or packaging process failed,227.0
"2026-04-02T04:24:01.000Z ##[group]Run CI for angular/angular
2026-04-02T04:24:01.000Z Runner image: macos-latest
2026-04-02T04:24:01.000Z Language: rust
2026-04-02T04:24:01.000Z helm upgrade --install api ./charts/api
2026-04-02T04:24:01.000Z Error: UPGRADE FAILED: timed out waiting for the condition
2026-04-02T04:24:01.000Z ##[error]Deployment failed in production stage",2026-04-02t04:24:01.000z group run ci for angular/angular 2026-04-02t04:24:01.000z runner image: macos-latest 2026-04-02t04:24:01.000z language: rust 2026-04-02t04:24:01.000z helm upgrade --install api ./charts/api 2026-04-02t04:24:01.000z,Deployment Error,deploy,high,Release or deployment command failed,239.0
"2026-04-02T20:04:54.000Z ##[group]Run CI for facebook/react
2026-04-02T20:04:54.000Z Runner image: windows-latest
2026-04-02T20:04:54.000Z Language: python
2026-04-02T20:04:54.000Z validating .github/workflows/ci.yml
2026-04-02T20:04:54.000Z workflow syntax error: Unexpected value 'stepz'
2026-04-02T20:04:54.000Z ##[error]Invalid workflow configuration",2026-04-02t20:04:54.000z group run ci for facebook/react 2026-04-02t20:04:54.000z runner image: windows-latest 2026-04-02t20:04:54.000z language: python 2026-04-02t20:04:54.000z validating .github/workflows/ci.yml 2026-04-02t20:04:54.000z workflow syntax error:,Configuration Error,build,high,Invalid workflow configuration or environment variable,261.0
"2026-04-02T11:06:59.000Z ##[group]Run CI for nodejs/node
2026-04-02T11:06:59.000Z Runner image: ubuntu-latest
2026-04-02T11:06:59.000Z Language: java
2026-04-02T11:06:59.000Z validating .github/workflows/ci.yml
2026-04-02T11:06:59.000Z workflow syntax error: Unexpected value 'stepz'
2026-04-02T11:06:59.000Z ##[error]Invalid workflow configuration",2026-04-02t11:06:59.000z group run ci for nodejs/node 2026-04-02t11:06:59.000z runner image: ubuntu-latest 2026-04-02t11:06:59.000z language: java 2026-04-02t11:06:59.000z validating .github/workflows/ci.yml 2026-04-02t11:06:59.000z workflow syntax error:,Configuration Error,build,high,Invalid workflow configuration or environment variable,255.0
"2026-04-08T16:26:22.000Z ##[group]Run CI for nodejs/node
2026-04-08T16:26:22.000Z Runner image: ubuntu-latest
2026-04-08T16:26:22.000Z Language: java
2026-04-08T16:26:22.000Z validating .github/workflows/ci.yml
2026-04-08T16:26:22.000Z workflow syntax error: Unexpected value 'stepz'
2026-04-08T16:26:22.000Z ##[error]Invalid workflow configuration",2026-04-08t16:26:22.000z group run ci for nodejs/node 2026-04-08t16:26:22.000z runner image: ubuntu-latest 2026-04-08t16:26:22.000z language: java 2026-04-08t16:26:22.000z validating .github/workflows/ci.yml 2026-04-08t16:26:22.000z workflow syntax error:,Configuration Error,build,high,Invalid workflow configuration or environment variable,
"2026-04-15T12:24:04.000Z ##[group]Run CI for vercel/next.js
2026-04-15T12:24:04.000Z Runner image: windows-latest
2026-04-15T12:24:04.000Z Language: java
2026-04-15T12:24:04.000Z pytest -m integration --maxfail=1
2026-04-15T12:24:04.000Z Error: Process timed out after 15 minutes
2026-04-15T12:24:04.000Z ##[error]The operation was canceled",2026-04-15t12:24:04.000z group run ci for vercel/next.js 2026-04-15t12:24:04.000z runner image: windows-latest 2026-04-15t12:24:04.000z language: java 2026-04-15t12:24:04.000z pytest -m integration --maxfail 1 2026-04-15t12:24:04.000z,Timeout Error,test,medium,Long-running step exceeded CI timeout threshold,
"2026-04-15T19:24:07.000Z ##[group]Run CI for vercel/next.js
2026-04-15T19:24:07.000Z Runner image: macos-latest
2026-04-15T19:24:07.000Z Language: python
2026-04-15T19:24:07.000Z Starting module scheduler
2026-04-15T19:24:07.000Z Traceback (most recent call last): ValueError: invalid state transition in scheduler
2026-04-15T19:24:07.000Z ##[error]Runtime exception in test process",2026-04-15t19:24:07.000z group run ci for vercel/next.js 2026-04-15t19:24:07.000z runner image: macos-latest 2026-04-15t19:24:07.000z language: python 2026-04-15t19:24:07.000z starting module scheduler 2026-04-15t19:24:07.000z traceback most,Runtime Error,test,medium,Unhandled exception during job execution,
"2026-04-01T22:40:13.000Z ##[group]Run CI for django/django
2026-04-01T22:40:13.000Z Runner image: windows-latest
2026-04-01T22:40:13.000Z Language: python
2026-04-01T22:40:13.000Z helm upgrade --install api ./charts/api
2026-04-01T22:40:13.000Z Error: UPGRADE FAILED: timed out waiting for the condition
2026-04-01T22:40:13.000Z ##[error]Deployment failed in production stage",2026-04-01t22:40:13.000z group run ci for django/django 2026-04-01t22:40:13.000z runner image: windows-latest 2026-04-01t22:40:13.000z language: python 2026-04-01t22:40:13.000z helm upgrade --install api ./charts/api 2026-04-01t22:40:13.000z,Deployment Error,deploy,high,Release or deployment command failed,241.0
"2026-04-02T06:15:41.000Z ##[group]Run CI for facebook/react
2026-04-02T06:15:41.000Z Runner image: macos-latest
2026-04-02T06:15:41.000Z Language: python
2026-04-02T06:15:41.000Z helm upgrade --install api ./charts/api
2026-04-02T06:15:41.000Z Error: UPGRADE FAILED: timed out waiting for the condition
2026-04-02T06:15:41.000Z ##[error]Deployment failed in production stage",2026-04-02t06:15:41.000z group run ci for facebook/react 2026-04-02t06:15:41.000z runner image: macos-latest 2026-04-02t06:15:41.000z language: python 2026-04-02t06:15:41.000z helm upgrade --install api ./charts/api 2026-04-02t06:15:41.000z,Deployment Error,deploy,high,Release or deployment command failed,240.0
"2026-04-01T13:15:36.000Z ##[group]Run CI for angular/angular
2026-04-01T13:15:36.000Z Runner image: macos-latest
2026-04-01T13:15:36.000Z Language: python
2026-04-01T13:15:36.000Z src/worker/handler.py:400: SyntaxError: unexpected token '@'
2026-04-01T13:15:36.000Z pylint: E0001 syntax-error
2026-04-01T13:15:36.000Z ##[error]Build stopped due to syntax error",2026-04-01t13:15:36.000z group run ci for angular/angular 2026-04-01t13:15:36.000z runner image: macos-latest 2026-04-01t13:15:36.000z language: python 2026-04-01t13:15:36.000z src/worker/handler.py:400: syntaxerror: unexpected token 2026-04-01t13:15:36.000z pylint:,Syntax Error,build,high,Invalid code syntax detected by compiler or linter,266.0
"2026-04-04T22:28:28.000Z ##[group]Run CI for angular/angular
2026-04-04T22:28:28.000Z Runner image: macos-latest
2026-04-04T22:28:28.000Z Language: go
2026-04-04T22:28:28.000Z helm upgrade --install api ./charts/api
2026-04-04T22:28:28.000Z Error: UPGRADE FAILED: timed out waiting for the condition
2026-04-04T22:28:28.000Z ##[error]Deployment failed in production stage",2026-04-04t22:28:28.000z group run ci for angular/angular 2026-04-04t22:28:28.000z runner image: macos-latest 2026-04-04t22:28:28.000z language: go 2026-04-04t22:28:28.000z helm upgrade --install api ./charts/api 2026-04-04t22:28:28.000z,Deployment Error,deploy,high,Release or deployment command failed,
"2026-04-12T05:42:06.000Z ##[group]Run CI for angular/angular
2026-04-12T05:42:06.000Z Runner image: ubuntu-latest
2026-04-12T05:42:06.000Z Language: java
2026-04-12T05:42:06.000Z helm upgrade --install api ./charts/api
2026-04-12T05:42:06.000Z Error: UPGRADE FAILED: timed out waiting for the condition
2026-04-12T05:42:06.000Z ##[error]Deployment failed in production stage",2026-04-12t05:42:06.000z group run ci for angular/angular 2026-04-12t05:42:06.000z runner image: ubuntu-latest 2026-04-12t05:42:06.000z language: java 2026-04-12t05:42:06.000z helm upgrade --install api ./charts/api 2026-04-12t05:42:06.000z,Deployment Error,deploy,high,Release or deployment command failed,
"2026-04-01T16:14:57.000Z ##[group]Run CI for tensorflow/tensorflow
2026-04-01T16:14:57.000Z Runner image: ubuntu-latest
2026-04-01T16:14:57.000Z Language: python
2026-04-01T16:14:57.000Z aws secretsmanager get-secret-value --secret-id docker-token
2026-04-01T16:14:57.000Z AccessDeniedException: User is not authorized to perform secretsmanager:GetSecretValue
2026-04-01T16:14:57.000Z ##[error]permission denied while accessing deployment secret",2026-04-01t16:14:57.000z group run ci for tensorflow/tensorflow 2026-04-01t16:14:57.000z runner image: ubuntu-latest 2026-04-01t16:14:57.000z language: python 2026-04-01t16:14:57.000z aws secretsmanager get-secret-value --secret-id docker-token 2026-04-01t16:14:57.000z,Permission Error,deploy,high,"Token, role, or filesystem permission denied",269.0
"2026-04-04T19:23:46.000Z ##[group]Run CI for pytorch/pytorch
2026-04-04T19:23:46.000Z Runner image: macos-latest
2026-04-04T19:23:46.000Z Language: java
2026-04-04T19:23:46.000Z ERROR: Module not found: Cannot resolve 'torch'
2026-04-04T19:23:46.000Z npm ERR! code E404
2026-04-04T19:23:46.000Z ##[error]Dependency installation failed",2026-04-04t19:23:46.000z group run ci for pytorch/pytorch 2026-04-04t19:23:46.000z runner image: macos-latest 2026-04-04t19:23:46.000z language: java 2026-04-04t19:23:46.000z error: module not found: cannot resolve,Dependency Error,build,high,Missing package or unresolved module dependency,
"2026-04-01T18:09:43.000Z ##[group]Run CI for microsoft/vscode
2026-04-01T18:09:43.000Z Runner image: windows-latest
2026-04-01T18:09:43.000Z Language: go
2026-04-01T18:09:43.000Z pytest -m integration --maxfail=1
2026-04-01T18:09:43.000Z Error: Process timed out after 10 minutes
2026-04-01T18:09:43.000Z ##[error]The operation was canceled",2026-04-01t18:09:43.000z group run ci for microsoft/vscode 2026-04-01t18:09:43.000z runner image: windows-latest 2026-04-01t18:09:43.000z language: go 2026-04-01t18:09:43.000z pytest -m integration --maxfail 1 2026-04-01t18:09:43.000z,Timeout Error,test,medium,Long-running step exceeded CI timeout threshold,234.0
"2026-04-01T16:27:05.000Z ##[group]Run CI for microsoft/vscode
2026-04-01T16:27:05.000Z Runner image: windows-latest
2026-04-01T16:27:05.000Z Language: java
2026-04-01T16:27:05.000Z validating .github/workflows/ci.yml
2026-04-01T16:27:05.000Z workflow syntax error: Unexpected value 'stepz'
2026-04-01T16:27:05.000Z ##[error]Invalid workflow configuration",2026-04-01t16:27:05.000z group run ci for microsoft/vscode 2026-04-01t16:27:05.000z runner image: windows-latest 2026-04-01t16:27:05.000z language: java 2026-04-01t16:27:05.000z validating .github/workflows/ci.yml 2026-04-01t16:27:05.000z workflow syntax error:,Configuration Error,build,high,Invalid workflow configuration or environment variable,261.0
"2026-04-02T12:36:21.000Z ##[group]Run CI for tensorflow/tensorflow
2026-04-02T12:36:21.000Z Runner image: ubuntu-latest
2026-04-02T12:36:21.000Z Language: java
2026-04-02T12:36:21.000Z helm upgrade --install api ./charts/api
2026-04-02T12:36:21.000Z Error: UPGRADE FAILED: timed out waiting for the condition
2026-04-02T12:36:21.000Z ##[error]Deployment failed in production stage",2026-04-02t12:36:21.000z group run ci for tensorflow/tensorflow 2026-04-02t12:36:21.000z runner image: ubuntu-latest 2026-04-02t12:36:21.000z language: java 2026-04-02t12:36:21.000z helm upgrade --install api ./charts/api 2026-04-02t12:36:21.000z,Deployment Error,deploy,high,Release or deployment command failed,246.0
"2026-04-01T08:45:46.000Z ##[group]Run CI for microsoft/vscode
2026-04-01T08:45:46.000Z Runner image: windows-latest
2026-04-01T08:45:46.000Z Language: java
2026-04-01T08:45:46.000Z ERROR: Module not found: Cannot resolve 'numpy'
2026-04-01T08:45:46.000Z npm ERR! code E404
2026-04-01T08:45:46.000Z ##[error]Dependency installation failed",2026-04-01t08:45:46.000z group run ci for microsoft/vscode 2026-04-01t08:45:46.000z runner image: windows-latest 2026-04-01t08:45:46.000z language: java 2026-04-01t08:45:46.000z error: module not found: cannot resolve,Dependency Error,build,high,Missing package or unresolved module dependency,217.0
"2026-04-12T03:00:29.000Z ##[group]Run CI for vercel/next.js
2026-04-12T03:00:29.000Z Runner image: macos-latest
2026-04-12T03:00:29.000Z Language: python
2026-04-12T03:00:29.000Z Starting module cache
2026-04-12T03:00:29.000Z Traceback (most recent call last): ValueError: invalid state transition in cache
2026-04-12T03:00:29.000Z ##[error]Runtime exception in test process",2026-04-12t03:00:29.000z group run ci for vercel/next.js 2026-04-12t03:00:29.000z runner image: macos-latest 2026-04-12t03:00:29.000z language: python 2026-04-12t03:00:29.000z starting module cache 2026-04-12t03:00:29.000z traceback most,Runtime Error,test,medium,Unhandled exception during job execution,
"2026-04-04T20:30:54.000Z ##[group]Run CI for pytorch/pytorch
2026-04-04T20:30:54.000Z Runner image: windows-latest
2026-04-04T20:30:54.000Z Language: java
2026-04-04T20:30:54.000Z pytest -m integration --maxfail=1
2026-04-04T20:30:54.000Z Error: Process timed out after 15 minutes
2026-04-04T20:30:54.000Z ##[error]The operation was canceled",2026-04-04t20:30:54.000z group run ci for pytorch/pytorch 2026-04-04t20:30:54.000z runner image: windows-latest 2026-04-04t20:30:54.000z language: java 2026-04-04t20:30:54.000z pytest -m integration --maxfail 1 2026-04-04t20:30:54.000z,Timeout Error,test,medium,Long-running step exceeded CI timeout threshold,
"2026-04-02T16:20:04.000Z ##[group]Run CI for microsoft/vscode
2026-04-02T16:20:04.000Z Runner image: macos-latest
2026-04-02T16:20:04.000Z Language: go
2026-04-02T16:20:04.000Z Pulling cache layer from registry
2026-04-02T16:20:04.000Z error: failed to solve: no space left on device
2026-04-02T16:20:04.000Z ##[error]Runner disk pressure caused job failure",2026-04-02t16:20:04.000z group run ci for microsoft/vscode 2026-04-02t16:20:04.000z runner image: macos-latest 2026-04-02t16:20:04.000z language: go 2026-04-02t16:20:04.000z pulling cache layer from registry 2026-04-02t16:20:04.000z,Infrastructure Error,build,high,Runner or external service instability,232.0
